Vehicle Spy 3 Bus Traffic File
Save Date,5/19/2015
Save Time,1:51:21 pm
Start Date,5/19/2015
Start Time,1:41:25 pm
System Time,90634458
Notes,

Network Description,Hardware,Network,Protocol,Baud Rate
HS CAN,Default,HS CAN,CAN,500000,
MS CAN,Default,MS CAN,CAN,500000,
SW CAN,Default,SW CAN,CAN,33333,
J1850 VPW,Default,J1850 VPW,J1850 VPW,10417,
ISO9141/KW2K,Default,ISO9141/KW2K,KeyWord 2000,10417,
LSFT CAN,Default,LSFT CAN,CAN,125000,
J1850 PWM,Default,J1850 PWM,J1850 PWM,41600,
J1708,Default,J1708,J1708,9600,
neoVI,Default,neoVI,CAN,,
HS CAN2 (neoVI 3G),Default,HS CAN2 (neoVI 3G),CAN,500000,
HS CAN3 (neoVI 3G),Default,HS CAN3 (neoVI 3G),CAN,500000,
LIN2 (neoVI 3G),Default,LIN2 (neoVI 3G),LIN,10417,
LIN3 (neoVI 3G),Default,LIN3 (neoVI 3G),LIN,10417,
LIN4 (neoVI 3G),Default,LIN4 (neoVI 3G),LIN,10417,
CGI (neoVI 3G),Default,CGI (neoVI 3G),CGI,625000,
LIN,Default,LIN,LIN,10417,
ISO9141/KW2K 2,Default,ISO9141/KW2K 2,KeyWord 2000,10417,
ISO9141/KW2K 3,Default,ISO9141/KW2K 3,KeyWord 2000,10417,
ISO9141/KW2K 4,Default,ISO9141/KW2K 4,KeyWord 2000,10417,
SW CAN2 (neoVI 3G),Default,SW CAN2 (neoVI 3G),CAN,33333,
LSFT CAN2 (neoVI 3G),Default,LSFT CAN2 (neoVI 3G),CAN,125000,
UART (neoVI 3G),Default,UART (neoVI 3G),UART,10417,
UART2 (neoVI 3G),Default,UART2 (neoVI 3G),UART,10417,
neoMOST,Default,neoMOST,MOST,1000000,
MOST (VNET A),Default,MOST (VNET A),MOST,1000000,
FlexRay1A (VNET A),Default,FlexRay1A (VNET A),FlexRay,5000000,
FlexRay1B (VNET A),Default,FlexRay1B (VNET A),FlexRay,5000000,
FlexRay2A (VNET A),Default,FlexRay2A (VNET A),FlexRay,5000000,
FlexRay2B (VNET A),Default,FlexRay2B (VNET A),FlexRay,5000000,
HS CAN (VNET A),Default,HS CAN (VNET A),CAN,500000,
MS CAN (VNET A),Default,MS CAN (VNET A),CAN,500000,
SW CAN (VNET A),Default,SW CAN (VNET A),CAN,500000,
J1850 VPW (VNET A),Default,J1850 VPW (VNET A),CAN,500000,
LSFT CAN (VNET A),Default,LSFT CAN (VNET A),CAN,500000,
J1708 (VNET A),Default,J1708 (VNET A),CAN,500000,
neoVI (VNET A),Default,neoVI (VNET A),CAN,500000,
HS CAN2 (VNET A),Default,HS CAN2 (VNET A),CAN,500000,
HS CAN3 (VNET A),Default,HS CAN3 (VNET A),CAN,500000,
LIN (VNET A),Default,LIN (VNET A),LIN,10417,
LIN2 (VNET A),Default,LIN2 (VNET A),LIN,10417,
LIN3 (VNET A),Default,LIN3 (VNET A),LIN,10417,
LIN4 (VNET A),Default,LIN4 (VNET A),LIN,10417,
CGI (VNET A),Default,CGI (VNET A),CGI,625000,
ISO9141/KW2K (VNET A),Default,ISO9141/KW2K (VNET A),CAN,500000,
ISO9141/KW2K 2 (VNET A),Default,ISO9141/KW2K 2 (VNET A),KeyWord 2000,10417,
ISO9141/KW2K 3 (VNET A),Default,ISO9141/KW2K 3 (VNET A),KeyWord 2000,10417,
ISO9141/KW2K 4 (VNET A),Default,ISO9141/KW2K 4 (VNET A),KeyWord 2000,10417,



Line,Abs Time(Sec),Rel Time (Sec),Status,Er,Tx,Description,Network,Node,ID,Cycle,Ch,B1-256,Dyn,Symbol Type,Strt-PPI-NULL-Sync-Res,H-CRC,CRC,Tframe,Tss Length,Value,Trigger,Signals
40,2.886023193597794,0.05927696824073792,139706763575296,F,F,J1708 $0A,J1708,,0A,99,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
42,2.946548253297806,0.06052505970001221,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,07 BB 00 00 BE EA,,,
44,3.006033420562744,0.05948516726493835,139706763575296,F,F,J1708 $0A,J1708,,0A,A4,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
46,3.066350549459458,0.06031712889671326,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,07 BB 00 00 BE EB,,,
48,3.119492053985596,0.05314150452613831,4643306390945792,F,F,J1708 $0A,J1708,,0A,A3,80,46,00,47,00,53,00,59,,,,
49,3.186152845621109,0.06666079163551331,280581690884096,F,F,J1708 $00,J1708,,00,47,80,54,00,56,00,5B,07,5C,04 BB 00 00 BE F2,,,
51,3.245638012886048,0.05948516726493835,102323368230912,F,F,J1708 $0A,J1708,,0A,9F,80,02,00,28,FF,55,00,79,00 B7 26 00 B8 00,,,
53,3.30595514178276,0.06031712889671326,280581690884096,F,F,J1708 $00,J1708,,00,F4,80,54,00,56,00,5B,07,5C,06 BB 00 00 BE F1,,,
55,3.365440279245376,0.05948513746261597,280444251930624,F,F,J1708 $0A,J1708,,0A,9E,80,64,3B,66,BC,69,5D,6E,95 A4 7B 05 A8 1D,,,
57,3.425757467746734,0.06031718850135803,280581690884096,F,F,J1708 $01,J1708,,01,0C,80,54,00,56,00,5B,07,5C,05 BB 00 00 BE E3,,,
59,3.485346674919128,0.0595892071723938,102323368230912,F,F,J1708 $0A,J1708,,0A,AD,80,02,00,28,FF,55,00,79,00 B7 26 00 B8 00,,,
61,3.545559763908386,0.06021308898925781,280581690884096,F,F,J1708 $00,J1708,,00,F4,80,54,00,56,00,5B,07,5C,04 BB 00 00 BE F2,,,
63,3.604836970567703,0.05927720665931702,102323368230912,F,F,J1708 $0A,J1708,,0A,9F,80,02,00,28,FF,55,00,79,00 B7 26 00 B8 00,,,
65,3.665362060070038,0.06052508950233459,280581690884096,F,F,J1708 $00,J1708,,00,F4,80,54,00,56,00,5B,07,5C,05 BB 00 00 BE 00,,,
67,3.724847257137298,0.05948519706726074,139844202528768,F,F,J1708 $0B,J1708,,0B,8F,80,02,00,28,FF,55,00,79,00 B7 26 00 B8 00,,,
69,3.785164386034012,0.06031712889671326,280581690884096,F,F,J1708 $00,J1708,,00,F4,80,54,00,56,00,5B,07,5C,08 BB 00 00 BE E7,,,
71,3.831964790821076,0.0468004047870636,4504767925846016,F,F,J1708 $0A,J1708,,0A,A6,80,C2,,,,,,,,,,
72,3.904966682195664,0.07300189137458801,280581690884096,F,F,J1708 $00,J1708,,00,BE,80,54,00,56,00,5B,07,5C,05 BB 00 00 BE EA,,,
74,3.964451849460602,0.05948516726493835,139706763575296,F,F,J1708 $0A,J1708,,0A,A6,80,02,00,28,FF,55,00,79,00 B7 26 00 B8 00,,,
76,4.024769008159638,0.06031715869903564,280581690884096,F,F,J1708 $00,J1708,,00,F4,80,54,00,56,00,5B,07,5C,02 BB 00 00 BE FA,,,
78,4.084046185016632,0.05927717685699463,139706763575296,F,F,J1708 $0A,J1708,,0A,99,80,02,00,28,FF,55,00,79,00 B7 26 00 B8 00,,,
80,4.144571602344513,0.06052541732788086,280581690884096,F,F,J1708 $00,J1708,,00,F4,80,54,00,56,00,5B,07,5C,07 BB 00 00 BE EB,,,
82,4.20405650138855,0.05948489904403687,139706763575296,F,F,J1708 $0A,J1708,,0A,A3,80,02,00,28,FF,55,00,79,00 B7 26 00 B8 00,,,
84,4.264477610588074,0.06042110919952393,280581690884096,F,F,J1708 $00,J1708,,00,F4,80,54,00,56,00,5B,07,5C,06 BB 00 00 BE EC,,,
86,4.317515105009079,0.05303749442100525,4643306390945792,F,F,J1708 $0A,J1708,,0A,A3,80,46,00,47,00,53,00,59,,,,
87,4.384279906749726,0.06676480174064636,280581690884096,F,F,J1708 $00,J1708,,00,47,80,54,00,56,00,5B,07,5C,04 BB 00 00 BE 02,,,
89,4.44355708360672,0.05927717685699463,139844202528768,F,F,J1708 $0B,J1708,,0B,8E,80,02,00,28,FF,55,00,79,00 B7 26 00 B8 00,,,
91,4.503978252410889,0.0604211688041687,280581690884096,F,F,J1708 $00,J1708,,00,F4,80,54,00,56,00,5B,07,5C,06 BB 00 00 BE F0,,,
93,4.56356742978096,0.05958917737007141,280444251930624,F,F,J1708 $0A,J1708,,0A,9F,80,64,3B,66,BC,69,5D,6E,95 A4 7E 05 A8 1D,,,
95,4.62378054857254,0.0602131187915802,280581690884096,F,F,J1708 $01,J1708,,01,09,80,54,00,56,00,5B,07,5C,06 BB 00 00 BE DE,,,
97,4.683265745639801,0.05948519706726074,102323368230912,F,F,J1708 $0A,J1708,,0A,B1,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
99,4.743583053350449,0.06031730771064758,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,04 BB 00 00 BE F2,,,
101,4.802860021591187,0.05927696824073792,102323368230912,F,F,J1708 $0A,J1708,,0A,9F,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
103,4.863385140895844,0.06052511930465698,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,05 BB 00 00 BE FD,,,
105,4.922766327857971,0.05938118696212769,102323368230912,F,F,J1708 $0A,J1708,,0A,93,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
107,4.983187466859818,0.06042113900184631,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,06 BB 00 00 BE F8,,,
109,5.029985159635544,0.04679769277572632,4504767925846016,F,F,J1708 $0A,J1708,,0A,97,80,C2,,,,,,,,,,
110,5.102989763021469,0.07300460338592529,280581690884096,F,F,J1708 $00,J1708,,00,BE,80,54,00,56,00,5B,07,5C,04 BB 00 00 BE E8,,,
112,5.162474930286407,0.05948516726493835,139706763575296,F,F,J1708 $0A,J1708,,0A,A9,80,02,00,28,FF,55,00,79,00 B7 26 00 B8 00,,,
114,5.222792029380798,0.06031709909439087,280581690884096,F,F,J1708 $00,J1708,,00,F4,80,54,00,56,00,5B,07,5C,03 BB 00 00 BE F0,,,
116,5.282069593667984,0.05927756428718567,139706763575296,F,F,J1708 $0A,J1708,,0A,A2,80,02,00,28,FF,55,00,79,00 B7 26 00 B8 00,,,
118,5.342595368623734,0.06052577495574951,280581690884096,F,F,J1708 $00,J1708,,00,F4,80,54,00,56,00,5B,07,5C,06 BB 00 00 BE E4,,,
120,5.402079552412033,0.05948418378829956,139706763575296,F,F,J1708 $0A,J1708,,0A,AB,80,02,00,28,FF,55,00,79,00 B7 26 00 B8 00,,,
122,5.462396711111069,0.06031715869903564,280581690884096,F,F,J1708 $00,J1708,,00,F4,80,54,00,56,00,5B,07,5C,07 BB 00 00 BE DF,,,
124,5.515642166137695,0.05324545502662659,4643306390945792,F,F,J1708 $0A,J1708,,0A,AF,80,46,00,47,00,53,00,59,,,,
125,5.58219900727272,0.06655684113502502,280581690884096,F,F,J1708 $00,J1708,,00,47,80,54,00,56,00,5B,07,5C,05 BB 00 00 BE FC,,,
127,5.641580164432526,0.0593811571598053,102323368230912,F,F,J1708 $0A,J1708,,0A,94,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
129,5.702001303434372,0.06042113900184631,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,05 BB 00 00 BE F5,,,
131,5.761590480804443,0.05958917737007141,280444251930624,F,F,J1708 $0A,J1708,,0A,9B,80,64,3B,66,BC,69,5D,6E,95 A4 81 05 A8 1D,,,
133,5.821803569793701,0.06021308898925781,280581690884096,F,F,J1708 $01,J1708,,01,06,80,54,00,56,00,5B,07,5C,06 BB 00 00 BE E6,,,
135,5.881288826465607,0.05948525667190552,102323368230912,F,F,J1708 $0A,J1708,,0A,A9,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
137,5.941605925559998,0.06031709909439087,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,03 BB 00 00 BE F2,,,
139,6.003170967102051,0.06156504154205322,243060856586240,F,F,J1708 $0A,J1708,,0A,A0,80,56,00,6C,E7,B9,00,05,BB 00 00 F5 04 B8 AF 20,,,
141,6.061408221721649,0.05823725461959839,280581690884096,F,F,J1708 $00,J1708,,00,DE,80,54,00,56,00,5B,07,5C,04 BB 00 00 BE FD,,,
143,6.120893388986588,0.05948516726493835,102323368230912,F,F,J1708 $0A,J1708,,0A,94,80,02,00,28,FF,55,00,79,00 B7 26 00 B8 00,,,
145,6.181210517883301,0.06031712889671326,280581690884096,F,F,J1708 $00,J1708,,00,F4,80,54,00,56,00,5B,07,5C,08 BB 00 00 BE EC,,,
147,6.228112250566483,0.04690173268318176,4504767925846016,F,F,J1708 $0A,J1708,,0A,A1,80,C2,,,,,,,,,,
148,6.301012814044952,0.07290056347846985,280581690884096,F,F,J1708 $00,J1708,,00,BE,80,54,00,56,00,5B,07,5C,05 BB 00 00 BE E7,,,
150,6.360497981309891,0.05948516726493835,139706763575296,F,F,J1708 $0A,J1708,,0A,A9,80,02,00,28,FF,55,00,79,00 B7 26 00 B8 00,,,
152,6.420815080404282,0.06031709909439087,280581690884096,F,F,J1708 $00,J1708,,00,F4,80,54,00,56,00,5B,07,5C,04 BB 00 00 BE FC,,,
154,6.480092287063599,0.05927720665931702,139706763575296,F,F,J1708 $0A,J1708,,0A,95,80,02,00,28,FF,55,00,79,00 B7 26 00 B8 00,,,
156,6.5406174659729,0.06052517890930176,280581690884096,F,F,J1708 $00,J1708,,00,F4,80,54,00,56,00,5B,07,5C,05 BB 00 00 BE E3,,,
158,6.600102633237839,0.05948516726493835,139706763575296,F,F,J1708 $0A,J1708,,0A,AD,80,02,00,28,FF,55,00,79,00 B7 26 00 B8 00,,,
160,6.66041973233223,0.06031709909439087,280581690884096,F,F,J1708 $00,J1708,,00,F4,80,54,00,56,00,5B,07,5C,06 BB 00 00 BE E0,,,
162,6.713562667369843,0.05314293503761292,4643306390945792,F,F,J1708 $0A,J1708,,0A,AF,80,46,00,47,00,53,00,59,,,,
163,6.780222058296204,0.06665939092636108,280581690884096,F,F,J1708 $00,J1708,,00,47,80,54,00,56,00,5B,07,5C,05 BB 00 00 BE 02,,,
165,6.839707255363464,0.05948519706726074,139844202528768,F,F,J1708 $0B,J1708,,0B,8D,80,02,00,28,FF,55,00,79,00 B7 26 00 B8 00,,,
167,6.900024354457855,0.06031709909439087,280581690884096,F,F,J1708 $00,J1708,,00,F4,80,54,00,56,00,5B,07,5C,07 BB 00 00 BE F9,,,
169,6.959615170955658,0.05959081649780273,280444251930624,F,F,J1708 $0A,J1708,,0A,95,80,64,3B,66,BC,69,5D,6E,95 A4 7D 05 A8 1C,,,
171,7.019826680421829,0.06021150946617126,280581690884096,F,F,J1708 $01,J1708,,01,0B,80,54,00,56,00,5B,07,5C,07 BB 00 00 BE D8,,,
173,7.079311817884445,0.05948513746261597,102323368230912,F,F,J1708 $0A,J1708,,0A,B6,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
175,7.139629006385803,0.06031718850135803,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,03 BB 00 00 BE F0,,,
177,7.198906183242798,0.05927717685699463,102323368230912,F,F,J1708 $0A,J1708,,0A,A2,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
179,7.259431272745132,0.06052508950233459,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,05 BB 00 00 BE FD,,,
181,7.318916440010071,0.05948516726493835,102323368230912,F,F,J1708 $0A,J1708,,0A,93,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
183,7.379337579011917,0.06042113900184631,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,07 BB 00 00 BE EA,,,
185,7.426135331392288,0.04679775238037109,4504767925846016,F,F,J1708 $0A,J1708,,0A,A4,80,C2,,,,,,,,,,
186,7.499035894870758,0.07290056347846985,280581690884096,F,F,J1708 $00,J1708,,00,BE,80,54,00,56,00,5B,07,5C,05 BB 00 00 BE F6,,,
188,7.558417081832886,0.05938118696212769,139706763575296,F,F,J1708 $0A,J1708,,0A,9A,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
190,7.61883819103241,0.06042110919952393,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,05 BB 00 00 BE F4,,,
192,7.678132474422455,0.05929428339004517,139706763575296,F,F,J1708 $0A,J1708,,0A,9C,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
194,7.738640457391739,0.06050798296928406,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,07 BB 00 00 BE DC,,,
196,7.798125714063644,0.05948525667190552,139706763575296,F,F,J1708 $0A,J1708,,0A,B2,80,02,00,28,FF,55,00,79,00 B7 28 00 B8 00,,,
198,7.858546853065491,0.06042113900184631,280581690884096,F,F,J1708 $00,J1708,,00,F2,80,54,00,56,00,5B,07,5C,04 BB 00 00 BE ED,,,
200,7.911584317684174,0.05303746461868286,4643306390945792,F,F,J1708 $0A,J1708,,0A,A4,80,46,00,47,00,53,00,59,,,,
201,7.978245109319687,0.06666079163551331,280581690884096,F,F,J1708 $00,J1708,,00,47,80,54,00,56,00,5B,07,5C,03 BB 00 00 BE 06,,,
203,8.037626296281815,0.05938118696212769,139844202528768,F,F,J1708 $0B,J1708,,0B,8B,80,02,00,28,FF,55,00,79,00 B7 26 00 B8 00,,,
205,8.098048537969589,0.06042224168777466,280581690884096,F,F,J1708 $00,J1708,,00,F4,80,54,00,56,00,5B,07,5C,06 BB 00 00 BE FC,,,
207,8.15763658285141,0.05958804488182068,280444251930624,F,F,J1708 $0A,J1708,,0A,93,80,64,3B,66,BC,69,5D,6E,95 A4 7D 05 A8 1D,,,
209,8.217849731445312,0.06021314859390259,280581690884096,F,F,J1708 $01,J1708,,01,0A,80,54,00,56,00,5B,07,5C,07 BB 00 00 BE D9,,,
211,8.277334898710251,0.05948516726493835,102323368230912,F,F,J1708 $0A,J1708,,0A,B5,80,02,00,28,FF,55,00,79,00 B7 26 00 B8 00,,,
213,8.337652325630188,0.06031742691993713,280581690884096,F,F,J1708 $00,J1708,,00,F4,80,54,00,56,00,5B,07,5C,03 BB 00 00 BE F7,,,
215,8.396929234266281,0.05927690863609314,102323368230912,F,F,J1708 $0A,J1708,,0A,9B,80,02,00,28,FF,55,00,79,00 B7 26 00 B8 00,,,
217,8.457558333873749,0.06062909960746765,280581690884096,F,F,J1708 $00,J1708,,00,F4,80,54,00,56,00,5B,07,5C,03 BB 00 00 BE 04,,,
219,8.516939669847488,0.05938133597373962,139844202528768,F,F,J1708 $0B,J1708,,0B,8D,80,02,00,28,FF,55,00,79,00 B7 26 00 B8 00,,,
221,8.57725664973259,0.06031697988510132,280581690884096,F,F,J1708 $00,J1708,,00,F4,80,54,00,56,00,5B,07,5C,07 BB 00 00 BE E4,,,
223,8.624054342508316,0.04679769277572632,4504767925846016,F,F,J1708 $0A,J1708,,0A,AA,80,C2,,,,,,,,,,
224,8.697058945894241,0.07300460338592529,280581690884096,F,F,J1708 $00,J1708,,00,BE,80,54,00,56,00,5B,07,5C,05 BB 00 00 BE FA,,,
226,8.75654411315918,0.05948516726493835,139706763575296,F,F,J1708 $0A,J1708,,0A,96,80,02,00,28,FF,55,00,79,00 B7 26 00 B8 00,,,
228,8.816861271858215,0.06031715869903564,280581690884096,F,F,J1708 $00,J1708,,00,F4,80,54,00,56,00,5B,07,5C,03 BB 00 00 BE FE,,,
230,8.87613844871521,0.05927717685699463,139706763575296,F,F,J1708 $0A,J1708,,0A,94,80,02,00,28,FF,55,00,79,00 B7 26 00 B8 00,,,
232,8.936663866043091,0.06052541732788086,280581690884096,F,F,J1708 $00,J1708,,00,F4,80,54,00,56,00,5B,07,5C,05 BB 00 00 BE E6,,,
234,8.996149003505707,0.05948513746261597,139706763575296,F,F,J1708 $0A,J1708,,0A,AA,80,02,00,28,FF,55,00,79,00 B7 26 00 B8 00,,,
236,9.056465864181518,0.06031686067581177,280581690884096,F,F,J1708 $00,J1708,,00,F4,80,54,00,56,00,5B,07,5C,05 BB 00 00 BE D8,,,
